category,name,name_en,description,price,abv,taste_note,tags,is_signature
cocktail,미드나잇 오차드,Midnight Orchard,"진, 시나몬, 사과 콜드브루를 부드럽게 레이어링한 시그니처 칵테일. 잔잔하고 깊은 여운이 남는 미디엄 바디.",19000,14.0,"드라이 & 스파이시, 은은한 사과 향","[""Signature"",""Gin Base"",""Low Sweet""]",true
cocktail,화이트 네그로니,White Negroni,"클래식 네그로니를 밝은 톤으로 재해석. 비터 오렌지와 허브의 밸런스가 깔끔한 피니시를 만듭니다.",18000,22.0,"비터 & 허벌, 깔끔한 끝맛","[""Classic Twist"",""Aperitif""]",false
cocktail,딥 시티 사워,Deep City Sour,"버번, 레몬, 꿀 시럽의 균형이 좋은 사워 스타일. 산뜻하면서도 바디감이 살아있습니다.",17500,18.0,"상큼함, 은은한 단맛, 미디엄 바디","[""Whiskey Base"",""Sour""]",false
whisky,글렌리벳 12년,The Glenlivet 12Y,"부드러운 바닐라와 사과 향이 균형 잡힌 스페이사이드 싱글몰트. 스트레이트 또는 온더락 추천.",21000,40.0,"라이트 오크, 과일향, 매끈한 피니시","[""Single Malt"",""Speyside""]",false
whisky,와일드 터키 101,Wild Turkey 101,"묵직한 바닐라와 캐러멜 노트가 특징인 버번. 풍부한 향을 선호하는 분께 추천합니다.",18000,50.5,"스파이시, 캐러멜, 묵직한 바디","[""Bourbon"",""Bold""]",false
whisky,하이랜드 파크 12년,Highland Park 12Y,"가벼운 스모키함과 꿀, 오크 향의 조화가 매력적인 싱글몰트.",23000,40.0,"은은한 스모크, 허니, 오크","[""Single Malt"",""Smoky""]",false
non-alcohol,가든 토닉 제로,Garden Tonic Zero,"허브 인퓨전과 토닉워터를 조합한 논알콜 시그니처. 깔끔하면서 향긋한 스타일입니다.",12000,0.0,"허브, 청량감, 드라이","[""Non Alcohol"",""Herbal""]",false
non-alcohol,유자 스파클링,Yuzu Sparkling,"신선한 유자와 레몬 제스트를 더한 스파클링 목테일. 식사 전후 모두 잘 어울립니다.",11000,0.0,"상큼함, 은은한 단맛","[""Mocktail"",""Citrus""]",false
non-alcohol,애플 얼그레이 쿨러,Apple Earl Grey Cooler,"얼그레이 티와 사과 주스를 베이스로 만든 논알콜 쿨러. 향이 길게 남습니다.",11500,0.0,"티 아로마, 산뜻함, 드라이","[""Mocktail"",""Tea Base""]",false
highball,시트러스 하이볼,Citrus Highball,"유자와 자몽 껍질의 산뜻함에 탄산감을 더해 가볍게 즐기기 좋은 스타일. 첫 잔으로 추천합니다.",16000,9.0,"상큼함 중심, 산뜻한 탄산","[""Refreshing"",""Beginner Friendly""]",false
highball,클래식 진저 하이볼,Classic Ginger Highball,"위스키와 진저에일의 균형이 좋은 하우스 하이볼. 부담 없이 즐기기 좋습니다.",15000,10.0,"진저 스파이스, 시원한 탄산","[""House Favorite"",""Easy Drinking""]",false
highball,우메 하이볼,Ume Highball,"매실과 소다의 산뜻함을 살린 하이볼. 식사와 곁들이기 좋습니다.",15500,8.5,"상큼함, 가벼운 단맛, 청량감","[""Fruity"",""Light Body""]",false
side,트러플 감자튀김,Truffle Fries,"가벼운 트러플 향과 파마산을 더한 사이드. 칵테일과 가장 잘 어울리는 스테디셀러입니다.",13000,,"고소함, 짭짤함","[""Side Menu"",""Best Pairing""]",false
side,치즈 플래터,Cheese Platter,"3가지 치즈와 견과, 크래커로 구성된 플래터. 위스키 또는 드라이 칵테일과 잘 맞습니다.",22000,,"짭짤함, 고소함, 크리미","[""Sharing"",""Pairing""]",false
side,올리브 & 너츠,Olives and Nuts,"가볍게 곁들이기 좋은 올리브와 믹스드 너츠 플레이트.",9000,,"짭짤함, 담백함","[""Light Bite"",""Pairing""]",false
